event,gender,time_distance,athlete,location,date,,,,,,,,,
3000m steeplechase,M,8:05.4,Henry Rono (KEN),Seattle,1978-05-13,,,,,,,,,
3000m steeplechase,M,8:05.35,Peter Koech (KEN),Stockholm,1989-07-03,,,,,,,,,
3000m steeplechase,M,8:02.08,Moses Kiptanui (KEN),Zürich,1992-08-19,,,,,,,,,
3000m steeplechase,M,7:59.18,Moses Kiptanui (KEN),Zürich,1995-08-16,,,,,,,,,
3000m steeplechase,M,7:59.08,Wilson Boit Kipketer (KEN),Zürich,1997-08-13,,,,,,,,,
3000m steeplechase,M,7:55.72,Bernard Barmasai (KEN),Cologne,1997-08-24,,,,,,,,,
3000m steeplechase,M,7:55.28,Brahim Boulami (MAR),Brussels,2001-08-24,,,,,,,,,
3000m steeplechase,M,7:53.63,Saif Saaeed Shaheen (QAT)[nb],Brussels,2004-09-03,,,,,,,,,
3000m steeplechase,M,7:52.11,Lamecha Girma (ETH),Paris,2023-06-09,,,,,,,,,
110m hurdles,M,15,Forrest Smithson,London,25 July 1908[1],,,,,,,,,
110m hurdles,M,15,Harold Barron,Antwerp,17 August 1920[2],,,,,,,,,
110m hurdles,M,15,Earl Thomson,Antwerp,17 August 1920[3],,,,,,,,,
110m hurdles,M,14.8,Earl Thomson,Antwerp,18 August 1920[1],,,,,,,,,
110m hurdles,M,14.8,Sten Pettersson,Stockholm,18 September 1927[1],,,,,,,,,
110m hurdles,M,14.6,George Weightman-Smith,Amsterdam,31 July 1928[1],,,,,,,,,
110m hurdles,M,14.4,Eric Wennström,Stockholm,25 August 1929[1],,,,,,,,,
110m hurdles,M,14.4,Bengt Sjöstedt,Helsinki,5 September 1931[1],,,,,,,,,
110m hurdles,M,14.4,Percy Beard,Cambridge,23 June 1932[1],,,,,,,,,
110m hurdles,M,14.4,Jack Keller,Palo Alto,17 July 1932[1],,,,,,,,,
110m hurdles,M,14.4,George Saling,Los Angeles,2 August 1932[1],,,,,,,,,
110m hurdles,M,14.4,John Morriss,Budapest,12 August 1933[1],,,,,,,,,
110m hurdles,M,14.4,John Morriss,Turin,8 September 1933[1],,,,,,,,,
110m hurdles,M,14.3,Percy Beard,Stockholm,26 July 1934[1],,,,,,,,,
110m hurdles,M,14.2,Percy Beard,Oslo,6 August 1934[1],,,,,,,,,
110m hurdles,M,14.2,Alvin Moreau,Oslo,2 August 1935[1],,,,,,,,,
110m hurdles,M,14.1w,Forrest Towns,Chicago,19 June 1936[1],,,,,,,,,
110m hurdles,M,14.1,Forrest Towns,Berlin,6 August 1936[1],,,,,,,,,
110m hurdles,M,13.7,Forrest Towns,Oslo,27 August 1936[1],,,,,,,,,
110m hurdles,M,13.7,Fred Wolcott,Philadelphia,29 June 1941[1],,,,,,,,,
110m hurdles,M,13.6,Richard Attlesey,College Park,24 June 1950[1],,,,,,,,,
110m hurdles,M,13.5,Richard Attlesey,Helsinki,10 July 1950[1],,,,,,,,,
110m hurdles,M,13.4,Jack Davis,Bakersfield,22 June 1956[1],,,,,,,,,
110m hurdles,M,13.2,Martin Lauer,Zurich,7 July 1959[1],,,,,,,,,
110m hurdles,M,13.2,Lee Calhoun,Bern,21 August 1960[1],,,,,,,,,
110m hurdles,M,13.2,Earl McCullouch,Minneapolis,16 July 1967[1],,,,,,,,,
110m hurdles,M,13.2,Willie Davenport,Zurich,4 July 1969[1],,,,,,,,,
110m hurdles,M,13.2,Rod Milburn,Munich,7 September 1972[1],,,,,,,,,
110m hurdles,M,13.2,Rod Milburn,Zurich,6 July 1973[1],,,,,,,,,
110m hurdles,M,13.2,Rod Milburn,Siena,22 July 1973[1],,,,,,,,,
110m hurdles,M,13.1,Guy Drut,Saint Maur,23 July 1975[1],,,,,,,,,
110m hurdles,M,13,Guy Drut,West Berlin,22 August 1975[1],,,,,,,,,
110m hurdles,M,13.24,Rod Milburn,Munich,7 September 1972[1],,,,,,,,,
110m hurdles,M,13.21,Alejandro Casañas,Sofia,21 August 1977[1],,,,,,,,,
110m hurdles,M,13.16,Renaldo Nehemiah,San Jose,14 April 1979[1],,,,,,,,,
110m hurdles,M,13,Renaldo Nehemiah,Westwood,6 May 1979[1],,,,,,,,,
110m hurdles,M,12.93,Renaldo Nehemiah,Zürich,19 August 1981[1],,,,,,,,,
110m hurdles,M,12.92,Roger Kingdom,Zürich,16 August 1989[1],,,,,,,,,
110m hurdles,M,12.91,Colin Jackson,Stuttgart,20 August 1993[1],,,,,,,,,
110m hurdles,M,12.91,Liu Xiang,Athens,27 August 2004[1],,,,,,,,,
110m hurdles,M,12.88,Liu Xiang,Lausanne,11 July 2006[1],,,,,,,,,
110m hurdles,M,12.87,Dayron Robles,Ostrava,12 June 2008[1],,,,,,,,,
110m hurdles,M,12.8,Aries Merritt,Brussels,7 September 2012,,,,,,,,,
400m hurdles,M,55,Charles Bacon (USA),London,"July 22, 1908[1]",,,,,,,,,
400m hurdles,M,54,Frank Loomis (USA),Antwerp,"August 16, 1920[1]",,,,,,,,,
400m hurdles,M,53.8,Sten Pettersson (SWE),Paris,"October 4, 1925[1]",,,,,,,,,
400m hurdles,M,52.6y,John Gibson (USA),Lincoln,"July 2, 1927[1]",,,,,,,,,
400m hurdles,M,52,Morgan Taylor (USA),Philadelphia,"July 4, 1928[1]",,,,,,,,,
400m hurdles,M,52,Glenn Hardin (USA),Los Angeles,"August 1, 1932[1]",,,,,,,,,
400m hurdles,M,51.8,Glenn Hardin (USA),Milwaukee,"June 30, 1934[1]",,,,,,,,,
400m hurdles,M,50.6,Glenn Hardin (USA),Stockholm,"July 26, 1934[1]",,,,,,,,,
400m hurdles,M,50.4,Yuriy Lituyev (USSR),Budapest,"September 20, 1953[1]",,,,,,,,,
400m hurdles,M,49.5,Glenn Davis (USA),Los Angeles,"June 29, 1956[1]",,,,,,,,,
400m hurdles,M,49.2,Glenn Davis (USA),Budapest,"August 6, 1958[1]",,,,,,,,,
400m hurdles,M,49.2,Salvatore Morale (ITA),Belgrade,"September 14, 1962[1]",,,,,,,,,
400m hurdles,M,49.1,Rex Cawley (USA),Los Angeles,"September 13, 1964[1]",,,,,,,,,
400m hurdles,M,48.8,Geoff Vanderstock (USA),Echo Summit,"September 11, 1968[1]",,,,,,,,,
400m hurdles,M,48.1,David Hemery (GBR),Mexico City,"October 15, 1968[1]",,,,,,,,,
400m hurdles,M,47.8,John Akii-Bua (UGA),Munich,"September 2, 1972[1]",,,,,,,,,
high jump,M,2.00 m (6 ft 6+1⁄2 in),George Horine (USA),"Palo Alto, California",18 May 1912[1],,,,,,,,,
high jump,M,2.01 m (6 ft 7 in),Edward Beeson (USA),"Berkeley, California",2 May 1914[7],,,,,,,,,
high jump,M,2.03 m (6 ft 7+3⁄4 in),Harold Osborn (USA),"Urbana, Illinois",27 May 1924[8],,,,,,,,,
high jump,M,2.04 m (6 ft 8+1⁄4 in),Walter Marty (USA),"Fresno, California",13 May 1933[1],,,,,,,,,
high jump,M,2.06 m (6 ft 9 in),Walter Marty (USA),"Palo Alto, California",28 April 1934[1],,,,,,,,,
high jump,M,2.07 m (6 ft 9+1⁄4 in),Cornelius Johnson (USA),New York,12 July 1936[1],,,,,,,,,
high jump,M,2.07 m (6 ft 9+1⁄4 in),Dave Albritton (USA),New York,12 July 1936[1],,,,,,,,,
high jump,M,2.09 m (6 ft 10+1⁄4 in),Mel Walker (USA),"Malmö, Sweden",12 August 1937[1],,,,,,,,,
high jump,M,2.11 m (6 ft 11 in),Lester Steers (USA),Los Angeles,17 June 1941[1],,,,,,,,,
high jump,M,2.12 m (6 ft 11+1⁄4 in),Walt Davis (USA),"Dayton, Ohio",27 June 1953[1],,,,,,,,,
high jump,M,2.15 m (7 ft 1⁄2 in),Charles Dumas (USA),Los Angeles,29 June 1956[1],,,,,,,,,
high jump,M,2.16 m (7 ft 1 in),Yuriy Stepanov (URS),"Leningrad, Soviet Union",13 July 1957[1],,,,,,,,,
high jump,M,2.17 m (7 ft 1+1⁄4 in),John Thomas (USA),Philadelphia,30 April 1960[1],,,,,,,,,
high jump,M,2.17 m (7 ft 1+1⁄4 in),John Thomas (USA),"Cambridge, Massachusetts",21 May 1960[1],,,,,,,,,
high jump,M,2.18 m (7 ft 1+3⁄4 in),John Thomas (USA),"Bakersfield, California",24 June 1960[1],,,,,,,,,
high jump,M,2.22 m (7 ft 3+1⁄4 in),John Thomas (USA),"Palo Alto, California",1 July 1960[1],,,,,,,,,
high jump,M,2.23 m (7 ft 3+3⁄4 in),Valeriy Brumel (URS),Moscow,18 June 1961[1],,,,,,,,,
high jump,M,2.24 m (7 ft 4 in),Valeriy Brumel (URS),Moscow,16 July 1961[1],,,,,,,,,
high jump,M,2.25 m (7 ft 4+1⁄2 in),Valeriy Brumel (URS),"Sofia, Bulgaria",31 August 1961[1],,,,,,,,,
high jump,M,2.26 m (7 ft 4+3⁄4 in),Valeriy Brumel (URS),"Palo Alto, California",22 July 1962[1],,,,,,,,,
high jump,M,2.27 m (7 ft 5+1⁄4 in),Valeriy Brumel (URS),Moscow,29 September 1962[1],,,,,,,,,
high jump,M,2.28 m (7 ft 5+3⁄4 in),Valeriy Brumel (URS),Moscow,21 July 1963[1],,,,,,,,,
high jump,M,2.29 m (7 ft 6 in),Pat Matzdorf (USA),"Berkeley, California",3 July 1971[1],,,,,,,,,
high jump,M,2.30 m (7 ft 6+1⁄2 in),Dwight Stones (USA),Munich,11 July 1973[1],,,,,,,,,
high jump,M,2.31 m (7 ft 6+3⁄4 in),Dwight Stones (USA),Philadelphia,5 June 1976[1],,,,,,,,,
high jump,M,2.32 m (7 ft 7+1⁄4 in),Dwight Stones (USA),Philadelphia,4 August 1976[1],,,,,,,,,
high jump,M,2.33 m (7 ft 7+1⁄2 in),Vladimir Yashchenko (URS),"Richmond, Virginia",2 June 1977[1],,,,,,,,,
high jump,M,2.34 m (7 ft 8 in),Vladimir Yashchenko (URS),"Tbilisi, Soviet Union",16 June 1978[1],,,,,,,,,
high jump,M,2.35 m (7 ft 8+1⁄2 in),Jacek Wszoła (POL),"Eberstadt, West Germany",25 May 1980[1],,,,,,,,,
high jump,M,2.35 m (7 ft 8+1⁄2 in),Dietmar Mögenburg (FRG),"Rehlingen, West Germany",26 May 1980[1],,,,,,,,,
high jump,M,2.36 m (7 ft 8+3⁄4 in),Gerd Wessig (GDR),"Moscow, Soviet Union",1 August 1980[1],,,,,,,,,
high jump,M,2.37 m (7 ft 9+1⁄4 in),Zhu Jianhua (CHN),"Beijing, China",11 June 1983[1],,,,,,,,,
high jump,M,2.38 m (7 ft 9+1⁄2 in),Zhu Jianhua (CHN),"Shanghai, China",22 September 1983[1],,,,,,,,,
high jump,M,2.39 m (7 ft 10 in),Zhu Jianhua (CHN),"Eberstadt, West Germany",10 June 1984[1],,,,,,,,,
high jump,M,2.40 m (7 ft 10+1⁄4 in),Rudolf Povarnitsyn (URS),"Donetsk, Soviet Union",11 August 1985[1],,,,,,,,,
high jump,M,2.41 m (7 ft 10+3⁄4 in),Igor Paklin (URS),"Kobe, Japan",4 September 1985[1],,,,,,,,,
high jump,M,2.42 m (7 ft 11+1⁄4 in),Patrik Sjöberg (SWE),"Stockholm, Sweden",30 June 1987[1],,,,,,,,,
high jump,M,2.42 m (7 ft 11+1⁄4 in) i,Carlo Thränhardt (FRG),West Berlin,26 February 1988,,,,,,,,,
high jump,M,2.43 m (7 ft 11+1⁄2 in),Javier Sotomayor (CUB),"Salamanca, Spain",8 September 1988[1],,,,,,,,,
high jump,M,2.44 m (8 ft 0 in),Javier Sotomayor (CUB),"San Juan, Puerto Rico",29 July 1989[1],,,,,,,,,
high jump,M,2.45 m (8 ft 1⁄4 in),Javier Sotomayor (CUB),"Salamanca, Spain",27 July 1993[1],,,,,,,,,
pole vault,M,3.15 m (10 ft 4 in),Francis Temple,Woolwich,"October 6, 1849[5]",,,,,,,,,
pole vault,M,3.21 m (10 ft 6+1⁄4 in),Robert Mitchell,London,"June 19, 1868[5]",,,,,,,,,
pole vault,M,3.225 m (10 ft 6+3⁄4 in),Edwin Woodburn,Newton,"August 31, 1872[5]",,,,,,,,,
pole vault,M,,,Lancaster,"June 2, 1873[5]",,,,,,,,,
pole vault,M,,William Kelsey,Sheffield,"July 7, 1873[5]",,,,,,,,,
pole vault,M,,John Wigfull,,,,,,,,,,,
pole vault,M,,Edwin Woodburn,London,"March 30, 1874[5]",,,,,,,,,
pole vault,M,,John Wigfull,Sheffield,"July 5, 1875[5]",,,,,,,,,
pole vault,M,3.38 m (11 ft 1 in),A. Hammond,Bury St.Edmunds,"March 30, 1876[5]",,,,,,,,,
pole vault,M,,Edwin Woodburn,Ulverston,"July 21, 1876[5]",,,,,,,,,
pole vault,M,3.42 m (11 ft 2+1⁄2 in),Thomas Ray,,"September 19, 1879[5]",,,,,,,,,
pole vault,M,3.43 m (11 ft 3 in),,Birmingham,"July 16, 1881[5]",,,,,,,,,
pole vault,M,3.455 m (11 ft 4 in),,Bradford,"August 12, 1882[5]",,,,,,,,,
pole vault,M,,,Nottingham,"June 16, 1883[5]",,,,,,,,,
pole vault,M,3.465 m (11 ft 4+1⁄4 in),,Preston,"August 18, 1883[5]",,,,,,,,,
pole vault,M,3.48 m (11 ft 5 in),,Grasmere,"August 20, 1885[5]",,,,,,,,,
pole vault,M,3.485 m (11 ft 5 in),,Whitehaven,"August 13, 1886[5]",,,,,,,,,
pole vault,M,3.505 m (11 ft 5+3⁄4 in),,Grasmere,"August 18, 1887[5]",,,,,,,,,
pole vault,M,3.52 m (11 ft 6+1⁄2 in),,Whitehaven,"August 19, 1887[5]",,,,,,,,,
pole vault,M,3.53 m (11 ft 6+3⁄4 in),Ernest Stones,Southport,"June 2, 1888[5]",,,,,,,,,
pole vault,M,3.555 m (11 ft 7+3⁄4 in),Thomas Ray,Barrow,"September 22, 1888[5]",,,,,,,,,
pole vault,M,3.57 m (11 ft 8+1⁄2 in),Ernest Stones,Grasmere,"August 23, 1889[5]",,,,,,,,,
pole vault,M,3.58 m (11 ft 8+3⁄4 in),Richard Dickenson,Kidderminster,"July 4, 1891[5]",,,,,,,,,
pole vault,M,3.62 m (11 ft 10+1⁄2 in),Raymond Clapp,Chicago,"June 16, 1898[5]",,,,,,,,,
pole vault,M,3.69 m (12 ft 1+1⁄4 in),Norman Dole,Berkeley,"April 23, 1904[5]",,,,,,,,,
pole vault,M,3.69 m (12 ft 1+1⁄4 in),Fernand Gonder,Paris,"June 26, 1904[5]",,,,,,,,,
pole vault,M,3.74 m (12 ft 3 in),,Gradignan,"June 4, 1905[5]",,,,,,,,,
pole vault,M,3.78 m (12 ft 4+3⁄4 in),Leroy Samse,Chicago,"June 2, 1906[5]",,,,,,,,,
pole vault,M,3.79 m (12 ft 5 in),Walter Dray,New Haven,"May 18, 1907[5]",,,,,,,,,
pole vault,M,3.82 m (12 ft 6+1⁄4 in),,Philadelphia,"April 25, 1908[5]",,,,,,,,,
pole vault,M,3.855 m (12 ft 7+3⁄4 in),Alfred Gilbert,,"June 6, 1908[5]",,,,,,,,,
pole vault,M,3.86 m (12 ft 7+3⁄4 in),,New Haven,"June 12, 1908[5]",,,,,,,,,
pole vault,M,3.90 m (12 ft 9+1⁄2 in),Walter Dray,Danbury,"June 13, 1908[5]",,,,,,,,,
pole vault,M,3.91 m (12 ft 9+3⁄4 in),Leland Scott,Berkeley,"April 30, 1910[5]",,,,,,,,,
pole vault,M,3.93 m (12 ft 10+1⁄2 in),,Boulder,"May 27, 1910[5]",,,,,,,,,
pole vault,M,3.985 m (13 ft 3⁄4 in),Robert Gardner,Philadelphia,"June 1, 1912[5]",,,,,,,,,
pole vault,M,4.02 m (13 ft 2+1⁄4 in),Marc Wright,"Cambridge, U.S.","June 8, 1912[1]",,,,,,,,,
pole vault,M,4.09 m (13 ft 5 in),Frank Foss,"Antwerp, Belgium","August 20, 1920[1]",,,,,,,,,
pole vault,M,4.12 m (13 ft 6 in),Charles Hoff,"Copenhagen, Denmark","September 22, 1922[1]",,,,,,,,,
pole vault,M,4.21 m (13 ft 9+1⁄2 in),,,"July 22, 1923[1]",,,,,,,,,
pole vault,M,4.23 m (13 ft 10+1⁄2 in),,"Oslo, Norway","August 13, 1925[1]",,,,,,,,,
pole vault,M,4.25 m (13 ft 11+1⁄4 in),,"Turku, Finland","September 27, 1925[1]",,,,,,,,,
pole vault,M,4.27 m (14 ft 0 in),Sabin Carr,"Philadelphia, U.S.","May 28, 1927[1]",,,,,,,,,
pole vault,M,4.30 m (14 ft 1+1⁄4 in),Lee Barnes,"Fresno, U.S.","April 28, 1928[1]",,,,,,,,,
pole vault,M,4.37 m (14 ft 4 in),William Graber,"Palo Alto, U.S.","July 16, 1932[1]",,,,,,,,,
pole vault,M,4.39 m (14 ft 4+3⁄4 in),Keith Brown,"Boston, U.S.","June 1, 1935[1]",,,,,,,,,
pole vault,M,4.43 m (14 ft 6+1⁄4 in),George Varoff,"Princeton, New Jersey, U.S.","July 4, 1936[1]",,,,,,,,,
pole vault,M,4.54 m (14 ft 10+1⁄2 in),Bill Sefton,"Los Angeles, U.S.","May 29, 1937[1]",,,,,,,,,
pole vault,M,,Earle Meadows,,,,,,,,,,,
pole vault,M,4.60 m (15 ft 1 in),Cornelius Warmerdam,"Fresno, U.S.","June 29, 1940[1]",,,,,,,,,
pole vault,M,4.72 m (15 ft 5+3⁄4 in),,"Compton, U.S.","June 26, 1941[1]",,,,,,,,,
pole vault,M,4.77 m (15 ft 7+3⁄4 in),,"Modesto, U.S.","May 23, 1942[1]",,,,,,,,,
pole vault,M,4.78 m (15 ft 8 in),Robert Gutowski,"Palo Alto, U.S.","April 27, 1957[1]",,,,,,,,,
pole vault,M,4.80 m (15 ft 8+3⁄4 in),Don Bragg,,"July 2, 1960[1]",,,,,,,,,
pole vault,M,4.83 m (15 ft 10 in),George Davies,"Boulder, U.S.","May 20, 1961[1]",,,,,,,,,
pole vault,M,4.89 m (16 ft 1⁄2 in),John Uelses,"Santa Barbara, U.S.","March 31, 1962[1]",,,,,,,,,
pole vault,M,4.93 m (16 ft 2 in),Dave Tork,"Walnut, U.S.","April 28, 1962[1]",,,,,,,,,
pole vault,M,4.94 m (16 ft 2+1⁄4 in),Pentti Nikula,"Kauhava, Finland","June 22, 1962[1]",,,,,,,,,
pole vault,M,5.00 m (16 ft 4+3⁄4 in),Brian Sternberg,"Philadelphia, U.S.","April 27, 1963[1]",,,,,,,,,
pole vault,M,5.08 m (16 ft 8 in),,"Compton, U.S.","June 7, 1963[1]",,,,,,,,,
pole vault,M,5.13 m (16 ft 9+3⁄4 in),John Pennel,"London, England","August 5, 1963[1]",,,,,,,,,
pole vault,M,5.20 m (17 ft 1⁄2 in),,"Coral Gables, U.S.","August 24, 1963[1]",,,,,,,,,
pole vault,M,5.23 m (17 ft 1+3⁄4 in),Fred Hansen,"San Diego, U.S.","June 13, 1964[1]",,,,,,,,,
pole vault,M,5.28 m (17 ft 3+3⁄4 in),,"Los Angeles, U.S.","July 25, 1964[1]",,,,,,,,,
pole vault,M,5.32 m (17 ft 5+1⁄4 in),Bob Seagren,"Fresno, U.S.","May 14, 1966[1]",,,,,,,,,
pole vault,M,5.34 m (17 ft 6 in),John Pennel,"Los Angeles, U.S.","July 23, 1966[1]",,,,,,,,,
pole vault,M,5.36 m (17 ft 7 in),Bob Seagren,"San Diego, U.S.","June 10, 1967[1]",,,,,,,,,
pole vault,M,5.38 m (17 ft 7+3⁄4 in),Paul Wilson,"Bakersfield, U.S.","June 23, 1967[1]",,,,,,,,,
pole vault,M,5.41 m (17 ft 8+3⁄4 in) A,Bob Seagren,"Echo Summit, U.S.","September 12, 1968[1]",,,,,,,,,
pole vault,M,5.44 m (17 ft 10 in),John Pennel,"Sacramento, U.S.","June 21, 1969[1]",,,,,,,,,
pole vault,M,5.45 m (17 ft 10+1⁄2 in),Wolfgang Nordwig,"Berlin, Germany","June 17, 1970[1]",,,,,,,,,
pole vault,M,5.46 m (17 ft 10+3⁄4 in),,"Turin, Italy","September 3, 1970[1]",,,,,,,,,
pole vault,M,5.49 m (18 ft 0 in),Christos Papanikolaou,"Athens, Greece","October 24, 1970[1]",,,,,,,,,
pole vault,M,5.51 m (18 ft 3⁄4 in),Kjell Isaksson,"Austin, U.S.","April 8, 1972[1]",,,,,,,,,
pole vault,M,5.54 m (18 ft 2 in),,"Los Angeles, U.S.","April 15, 1972[1]",,,,,,,,,
pole vault,M,5.55 m (18 ft 2+1⁄2 in),,"Helsingborg, Sweden","June 12, 1972[1]",,,,,,,,,
pole vault,M,5.63 m (18 ft 5+1⁄2 in),Bob Seagren,"Eugene, U.S.","July 2, 1972[1]",,,,,,,,,
pole vault,M,5.65 m (18 ft 6+1⁄4 in),David Roberts,"Gainesville, U.S.","March 28, 1975[1]",,,,,,,,,
pole vault,M,5.67 m (18 ft 7 in),Earl Bell,"Wichita, U.S.","May 29, 1976[1]",,,,,,,,,
pole vault,M,5.70 m (18 ft 8+1⁄4 in),David Roberts,"Eugene, U.S.","June 22, 1976[1]",,,,,,,,,
pole vault,M,5.72 m (18 ft 9 in),Władysław Kozakiewicz,"Milan, Italy","May 11, 1980[1]",,,,,,,,,
pole vault,M,5.75 m (18 ft 10+1⁄4 in),Thierry Vigneron,"Paris, France","June 1, 1980[1]",,,,,,,,,
pole vault,M,5.75 m (18 ft 10+1⁄4 in),,"Lille, France","June 29, 1980[1]",,,,,,,,,
pole vault,M,5.77 m (18 ft 11 in),Philippe Houvion,"Paris, France","July 17, 1980[1]",,,,,,,,,
pole vault,M,5.78 m (18 ft 11+1⁄2 in),Władysław Kozakiewicz,"Moscow, Soviet Union","July 30, 1980[1]",,,,,,,,,
pole vault,M,5.80 m (19 ft 1⁄4 in),Thierry Vigneron,"Mâcon, France","June 20, 1981[1]",,,,,,,,,
pole vault,M,5.81 m (19 ft 1⁄2 in),Vladimir Polyakov,"Tbilisi, Soviet Union","June 26, 1981[1]",,,,,,,,,
pole vault,M,5.82 m (19 ft 1 in),Pierre Quinon,"Cologne, Germany","August 28, 1983[1]",,,,,,,,,
pole vault,M,5.83 m (19 ft 1+1⁄2 in),Thierry Vigneron,"Rome, Italy","September 1, 1983[1]",,,,,,,,,
pole vault,M,5.85 m (19 ft 2+1⁄4 in),Sergey Bubka,"Bratislava, Czechoslovakia","May 26, 1984[1]",,,,,,,,,
pole vault,M,5.88 m (19 ft 3+1⁄4 in),,"Paris, France","June 2, 1984[1]",,,,,,,,,
pole vault,M,5.90 m (19 ft 4+1⁄4 in),,"London, England","July 13, 1984[1]",,,,,,,,,
pole vault,M,5.91 m (19 ft 4+1⁄2 in),Thierry Vigneron,"Rome, Italy","August 31, 1984[1]",,,,,,,,,
pole vault,M,5.94 m (19 ft 5+3⁄4 in),Sergey Bubka,,,,,,,,,,,
pole vault,M,6.00 m (19 ft 8 in),,"Paris, France","July 13, 1985[1]",,,,,,,,,
pole vault,M,6.01 m (19 ft 8+1⁄2 in),,"Moscow, Soviet Union","July 8, 1986[1]",,,,,,,,,
pole vault,M,6.03 m (19 ft 9+1⁄4 in),,"Prague, Czechoslovakia","June 23, 1987[1]",,,,,,,,,
pole vault,M,6.05 m (19 ft 10 in),,"Bratislava, Czechoslovakia","June 9, 1988[1]",,,,,,,,,
pole vault,M,6.06 m (19 ft 10+1⁄2 in),,"Nice, France","July 10, 1988[1]",,,,,,,,,
pole vault,M,6.07 m (19 ft 10+3⁄4 in),,"Shizuoka, Japan","May 6, 1991[1]",,,,,,,,,
pole vault,M,6.08 m (19 ft 11+1⁄4 in),,"Moscow, Soviet Union","June 9, 1991[1]",,,,,,,,,
pole vault,M,6.09 m (19 ft 11+3⁄4 in),,"Formia, Italy","July 8, 1991[1]",,,,,,,,,
pole vault,M,6.10 m (20 ft 0 in),,"Malmö, Sweden","August 5, 1991[1]",,,,,,,,,
pole vault,M,6.11 m (20 ft 1⁄2 in),,"Dijon, France","June 13, 1992[1]",,,,,,,,,
pole vault,M,6.12 m (20 ft 3⁄4 in),,"Padua, Italy","August 30, 1992[1]",,,,,,,,,
pole vault,M,6.13 m (20 ft 1+1⁄4 in),,"Tokyo, Japan","September 19, 1992[1]",,,,,,,,,
pole vault,M,6.14 m (20 ft 1+1⁄2 in) A[6],,"Sestriere, Italy","July 31, 1994[1]",,,,,,,,,
pole vault,M,6.16 m (20 ft 2+1⁄2 in) i[7],Renaud Lavillenie,"Donetsk, Ukraine","February 15, 2014",,,,,,,,,
pole vault,M,6.17 m (20 ft 2+3⁄4 in) i,Armand Duplantis,"Toruń, Poland","February 8, 2020",,,,,,,,,
pole vault,M,6.18 m (20 ft 3+1⁄4 in) i,,"Glasgow, UK","February 15, 2020",,,,,,,,,
pole vault,M,6.19 m (20 ft 3+1⁄2 in) i,,"Belgrade, Serbia","March 7, 2022",,,,,,,,,
pole vault,M,6.20 m (20 ft 4 in) i,,,"March 20, 2022",,,,,,,,,
pole vault,M,6.21 m (20 ft 4+1⁄4 in),,"Eugene, U.S.","July 24, 2022",,,,,,,,,
pole vault,M,6.22 m (20 ft 4+3⁄4 in) i,,"Clermont-Ferrand, France","February 25, 2023",,,,,,,,,
pole vault,M,6.23 m (20 ft 5+1⁄4 in),,"Eugene, U.S.","September 17, 2023",,,,,,,,,
pole vault,M,6.24 m (20 ft 5+1⁄2 in),,"Xiamen, China","April 20, 2024",,,,,,,,,
long jump (low altitude),M,8.35 m (27 ft 4+1⁄2 in)[5],Ralph Boston (USA),"Modesto, United States",29 May 1965[1][6],,,,,,,,,
long jump (low altitude),M,8.35 m (27 ft 4+1⁄2 in),Josef Schwarz (FRG),"Stuttgart, West Germany",15 July 1970[8],,,,,,,,,
long jump (low altitude),M,8.45 m (27 ft 8+1⁄2 in),Nenad Stekić (YUG),"Montreal, Canada",25 July 1975[8],,,,,,,,,
long jump (low altitude),M,8.52 m (27 ft 11+1⁄4 in),Larry Myricks (USA),"Montreal, Canada",26 August 1979[8],,,,,,,,,
long jump (low altitude),M,8.54 m (28 ft 0 in),Lutz Dombrowski (GDR),"Moscow, Soviet Union",28 July 1980[8],,,,,,,,,
long jump (low altitude),M,8.62 m (28 ft 3+1⁄4 in),Carl Lewis (USA),"Sacramento, United States",20 June 1981[8],,,,,,,,,
long jump (low altitude),M,8.76 m (28 ft 8+3⁄4 in),Carl Lewis (USA),"Indianapolis, United States",24 July 1982[8],,,,,,,,,
long jump (low altitude),M,8.79 m (28 ft 10 in),Carl Lewis (USA),"Indianapolis, United States",19 June 1983[8],,,,,,,,,
long jump (low altitude),M,8.95 m (29 ft 4+1⁄4 in),Mike Powell (USA),"Tokyo, Japan",30 August 1991,,,,,,,,,
triple jump,M,15.52 m (50 ft 11 in),Dan Ahearn (USA),"New York City, U.S.[1]",30 May 1911,,,,,,,,,
triple jump,M,15.52 m (50 ft 11 in),Nick Winter (AUS),"Paris, France[1]",12 July 1924,,,,,,,,,
triple jump,M,15.58 m (51 ft 1+1⁄4 in),Mikio Oda (JPN),"Tokyo, Japan[1]",27 October 1931,,,,,,,,,
triple jump,M,15.72 m (51 ft 6+3⁄4 in),Chuhei Nambu (JPN),"Los Angeles, U.S.[1]",4 August 1932,,,,,,,,,
triple jump,M,15.78 m (51 ft 9+1⁄4 in),Jack Metcalfe (AUS),"Sydney, Australia[1]",14 December 1935,,,,,,,,,
triple jump,M,16.00 m (52 ft 5+3⁄4 in),Naoto Tajima (JPN),"Berlin, Germany[1]",6 August 1936,,,,,,,,,
triple jump,M,16.00 m (52 ft 5+3⁄4 in),Adhemar da Silva (BRA),"São Paulo, Brazil[1]",3 December 1950,,,,,,,,,
triple jump,M,16.01 m (52 ft 6+1⁄4 in),Adhemar da Silva (BRA),"Rio de Janeiro, Brazil[1]",30 September 1951,,,,,,,,,
